Latitude_Min,Latitude_Max,Longitude_Min,Longitude_Max,Average_Fe_Si_Ratio
-67.32893652102248,-66.91673536685926,2.382962684055201,3.443328746171801,0.014667340808251876
-67.32893652102248,-66.91673536685926,3.443328746171801,4.503694808288401,0.014667340808251876
-67.32893652102248,-66.91673536685926,4.503694808288401,5.564060870405001,0.014667340808251876
-67.32893652102248,-66.91673536685926,77.6689530943338,78.7293191564504,0.04727131908299155
-67.32893652102248,-66.91673536685926,78.7293191564504,79.789685218567,0.04727131908299155
-67.32893652102248,-66.91673536685926,79.789685218567,80.8500512806836,0.04727131908299155
-67.32893652102248,-66.91673536685926,173.1018986848278,174.1622647469444,0.11388158152513168
-67.32893652102248,-66.91673536685926,174.1622647469444,175.222630809061,0.11388158152513168
-67.32893652102248,-66.91673536685926,175.222630809061,176.2829968711776,0.11388158152513168
-66.91673536685926,-66.50453421269603,77.52625306164003,78.56886947079647,0.03081630032820707
-66.91673536685926,-66.50453421269603,78.56886947079647,79.61148587995291,0.03081630032820707
-66.91673536685926,-66.50453421269603,79.61148587995291,80.65410228910935,0.03081630032820707
-66.91673536685926,-66.50453421269603,173.44696270403227,174.4895791131887,0.11388158152513168
-66.91673536685926,-66.50453421269603,174.4895791131887,175.53219552234515,0.11388158152513168
-66.91673536685926,-66.50453421269603,175.53219552234515,176.57481193150159,0.11388158152513168
-66.50453421269603,-66.0923330585328,1.5141027818389716,2.5396061873860845,0.035141378742313205
-66.50453421269603,-66.0923330585328,2.5396061873860845,3.5651095929331973,0.035141378742313205
-66.50453421269603,-66.0923330585328,3.5651095929331973,4.59061299848031,0.035141378742313205
-66.50453421269603,-66.0923330585328,173.79867491375393,174.82417831930104,0.11388158152513168
-66.50453421269603,-66.0923330585328,174.82417831930104,175.84968172484815,0.11388158152513168
-66.0923330585328,-65.68013190436957,1.6190062014845807,2.6280006803817173,0.035141378742313205
-66.0923330585328,-65.68013190436957,2.6280006803817173,3.636995159278854,0.035141378742313205
-66.0923330585328,-65.68013190436957,3.636995159278854,4.64598963817599,0.035141378742313205
-65.68013190436957,-65.26793075020635,1.7298424047802712,2.7229016528938246,0.035141378742313205
-65.68013190436957,-65.26793075020635,2.7229016528938246,3.715960901007378,0.035141378742313205
-65.68013190436957,-65.26793075020635,3.715960901007378,4.709020149120931,0.035141378742313205
-65.26793075020635,-64.85572959604312,1.8464976707822984,2.8241670130983323,0.08066291167399813
-65.26793075020635,-64.85572959604312,2.8241670130983323,3.801836355414366,0.08066291167399813
-65.26793075020635,-64.85572959604312,3.801836355414366,4.7795056977304,0.08066291167399813
-64.85572959604312,-64.44352844187989,1.968866872079758,2.9316651094981694,0.12618444460568304
-64.85572959604312,-64.44352844187989,2.9316651094981694,3.894463346916581,0.12618444460568304
